song.id,acousticness,analysis_url,artist.id,artist.name,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,isBanger,is_local,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
5cXuQh2WxfL5J2iPNDUSNu,0.000474,https://api.spotify.com/v1/audio-analysis/5cXuQh2WxfL5J2iPNDUSNu,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.194,1,68906,0.304,False,False,SEBGA1803847,https://api.spotify.com/v1/tracks/5cXuQh2WxfL5J2iPNDUSNu,5cXuQh2WxfL5J2iPNDUSNu,0.834,False,False,1,0.589,-34.698,1,"Thunder & Rain Sounds, Pt. 56",43,https://p.scdn.co/mp3-preview/ba3bff656e2622f5b25bb58be7617097f8468532?cid=b48aa986c53946d3b37781455e256dd4,0.0571,106.394,5,True,https://api.spotify.com/v1/tracks/5cXuQh2WxfL5J2iPNDUSNu,56,audio_features,spotify:track:5cXuQh2WxfL5J2iPNDUSNu,0.0364
3Fmr07aUoNS333jbbrgN34,0.000413,https://api.spotify.com/v1/audio-analysis/3Fmr07aUoNS333jbbrgN34,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.163,1,69066,0.321,False,False,SEBGA1803848,https://api.spotify.com/v1/tracks/3Fmr07aUoNS333jbbrgN34,3Fmr07aUoNS333jbbrgN34,0.939,False,False,1,0.243,-32.292,1,"Thunder & Rain Sounds, Pt. 57",44,https://p.scdn.co/mp3-preview/c685a04b82ffb456748781faf0d57fac6352faee?cid=b48aa986c53946d3b37781455e256dd4,0.0576,74.796,4,True,https://api.spotify.com/v1/tracks/3Fmr07aUoNS333jbbrgN34,57,audio_features,spotify:track:3Fmr07aUoNS333jbbrgN34,0.0382
3KvP40RrWSY7K3KwB1HIAJ,0.00483,https://api.spotify.com/v1/audio-analysis/3KvP40RrWSY7K3KwB1HIAJ,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.137,1,70806,0.304,False,False,SEBGA1803849,https://api.spotify.com/v1/tracks/3KvP40RrWSY7K3KwB1HIAJ,3KvP40RrWSY7K3KwB1HIAJ,0.924,False,False,0,0.408,-33.465,1,"Thunder & Rain Sounds, Pt. 58",43,https://p.scdn.co/mp3-preview/53913b0a1ba89d111bc0c3bdc5df20d413dca7c5?cid=b48aa986c53946d3b37781455e256dd4,0.0505,97.509,4,True,https://api.spotify.com/v1/tracks/3KvP40RrWSY7K3KwB1HIAJ,58,audio_features,spotify:track:3KvP40RrWSY7K3KwB1HIAJ,0.0388
4zhVznT3LjvcWTqB45rbMB,0.000452,https://api.spotify.com/v1/audio-analysis/4zhVznT3LjvcWTqB45rbMB,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.0863,1,68344,0.341,False,False,SEBGA1803850,https://api.spotify.com/v1/tracks/4zhVznT3LjvcWTqB45rbMB,4zhVznT3LjvcWTqB45rbMB,0.94,False,False,1,0.369,-33.882,1,"Thunder & Rain Sounds, Pt. 59",43,https://p.scdn.co/mp3-preview/0d6ff9d366dfe5ad58d80572142a871f1f4d68be?cid=b48aa986c53946d3b37781455e256dd4,0.0644,166.498,4,True,https://api.spotify.com/v1/tracks/4zhVznT3LjvcWTqB45rbMB,59,audio_features,spotify:track:4zhVznT3LjvcWTqB45rbMB,0.0361
5Dzn8XEIINa9UpPcLOcp6D,0.000541,https://api.spotify.com/v1/audio-analysis/5Dzn8XEIINa9UpPcLOcp6D,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.178,1,66017,0.371,False,False,SEBGA1803851,https://api.spotify.com/v1/tracks/5Dzn8XEIINa9UpPcLOcp6D,5Dzn8XEIINa9UpPcLOcp6D,0.985,False,False,1,0.416,-33.111,1,"Thunder & Rain Sounds, Pt. 60",43,https://p.scdn.co/mp3-preview/fbb458af5b4ed3aae7db0f7e20db84747fe81586?cid=b48aa986c53946d3b37781455e256dd4,0.0614,92.237,3,True,https://api.spotify.com/v1/tracks/5Dzn8XEIINa9UpPcLOcp6D,60,audio_features,spotify:track:5Dzn8XEIINa9UpPcLOcp6D,0.0399
2ZNtgL6TdYkT9oVquF0RHZ,0.000447,https://api.spotify.com/v1/audio-analysis/2ZNtgL6TdYkT9oVquF0RHZ,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.246,1,67948,0.378,False,False,SEBGA1803852,https://api.spotify.com/v1/tracks/2ZNtgL6TdYkT9oVquF0RHZ,2ZNtgL6TdYkT9oVquF0RHZ,0.875,False,False,5,0.561,-34.247,0,"Thunder & Rain Sounds, Pt. 61",43,https://p.scdn.co/mp3-preview/8f6b40447cfbf61dec26670eadfb3360caba43bc?cid=b48aa986c53946d3b37781455e256dd4,0.0646,119.758,4,True,https://api.spotify.com/v1/tracks/2ZNtgL6TdYkT9oVquF0RHZ,61,audio_features,spotify:track:2ZNtgL6TdYkT9oVquF0RHZ,0.0345
4lJVxELAanTDlF1AsMXa0L,6.8e-05,https://api.spotify.com/v1/audio-analysis/4lJVxELAanTDlF1AsMXa0L,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.141,1,66962,0.376,False,False,SEBGA1803853,https://api.spotify.com/v1/tracks/4lJVxELAanTDlF1AsMXa0L,4lJVxELAanTDlF1AsMXa0L,0.887,False,False,1,0.436,-34.977,1,"Thunder & Rain Sounds, Pt. 62",43,https://p.scdn.co/mp3-preview/a289df7b3bb82f9fdee09071973bd1736c8b3ee3?cid=b48aa986c53946d3b37781455e256dd4,0.0595,102.822,4,True,https://api.spotify.com/v1/tracks/4lJVxELAanTDlF1AsMXa0L,62,audio_features,spotify:track:4lJVxELAanTDlF1AsMXa0L,0.0293
6cwFmGS4YzoYYPTP1ncLoB,0.000306,https://api.spotify.com/v1/audio-analysis/6cwFmGS4YzoYYPTP1ncLoB,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.153,1,68562,0.357,False,False,SEBGA1803854,https://api.spotify.com/v1/tracks/6cwFmGS4YzoYYPTP1ncLoB,6cwFmGS4YzoYYPTP1ncLoB,0.957,False,False,5,0.286,-34.801,0,"Thunder & Rain Sounds, Pt. 63",43,https://p.scdn.co/mp3-preview/1a43efbcce7cb2fd92e778227c2349fdbcb9ed52?cid=b48aa986c53946d3b37781455e256dd4,0.0588,140.762,3,True,https://api.spotify.com/v1/tracks/6cwFmGS4YzoYYPTP1ncLoB,63,audio_features,spotify:track:6cwFmGS4YzoYYPTP1ncLoB,0.0358
0hvY1Rz84WvFWSF312AhuO,0.000207,https://api.spotify.com/v1/audio-analysis/0hvY1Rz84WvFWSF312AhuO,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.196,1,68830,0.316,False,False,SEBGA1803855,https://api.spotify.com/v1/tracks/0hvY1Rz84WvFWSF312AhuO,0hvY1Rz84WvFWSF312AhuO,0.987,False,False,11,0.169,-35.796,0,"Thunder & Rain Sounds, Pt. 64",43,https://p.scdn.co/mp3-preview/ade8f8ff6362a631a27e26929f1bd755db641cad?cid=b48aa986c53946d3b37781455e256dd4,0.0579,95.093,1,True,https://api.spotify.com/v1/tracks/0hvY1Rz84WvFWSF312AhuO,64,audio_features,spotify:track:0hvY1Rz84WvFWSF312AhuO,0.036
4D5H9oSkZZuBSupqEDmONH,7.73e-05,https://api.spotify.com/v1/audio-analysis/4D5H9oSkZZuBSupqEDmONH,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.132,1,65059,0.339,False,False,SEBGA1803856,https://api.spotify.com/v1/tracks/4D5H9oSkZZuBSupqEDmONH,4D5H9oSkZZuBSupqEDmONH,0.943,False,False,5,0.39,-35.359,0,"Thunder & Rain Sounds, Pt. 65",42,https://p.scdn.co/mp3-preview/e4bfd910c05315f3128a04f6f3a9cdc0c36ea13b?cid=b48aa986c53946d3b37781455e256dd4,0.0514,95.107,3,True,https://api.spotify.com/v1/tracks/4D5H9oSkZZuBSupqEDmONH,65,audio_features,spotify:track:4D5H9oSkZZuBSupqEDmONH,0.0283
1EUUH8bH5eac9YAR0PIA3z,0.000565,https://api.spotify.com/v1/audio-analysis/1EUUH8bH5eac9YAR0PIA3z,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.172,1,65211,0.324,False,False,SEBGA1803857,https://api.spotify.com/v1/tracks/1EUUH8bH5eac9YAR0PIA3z,1EUUH8bH5eac9YAR0PIA3z,0.918,False,False,1,0.0916,-35.292,1,"Thunder & Rain Sounds, Pt. 66",43,https://p.scdn.co/mp3-preview/f74924d0a71efc488878befe048a09ee1571e1e3?cid=b48aa986c53946d3b37781455e256dd4,0.0659,126.42,5,True,https://api.spotify.com/v1/tracks/1EUUH8bH5eac9YAR0PIA3z,66,audio_features,spotify:track:1EUUH8bH5eac9YAR0PIA3z,0.0657
6tkm5aG839UkRwkDK7vEHP,0.000697,https://api.spotify.com/v1/audio-analysis/6tkm5aG839UkRwkDK7vEHP,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.2,1,68743,0.364,False,False,SEBGA1803858,https://api.spotify.com/v1/tracks/6tkm5aG839UkRwkDK7vEHP,6tkm5aG839UkRwkDK7vEHP,0.8,False,False,10,0.28,-36.263,0,"Thunder & Rain Sounds, Pt. 67",43,https://p.scdn.co/mp3-preview/ba4d15a1b7bc172adf296f51fadb88ec6884e6db?cid=b48aa986c53946d3b37781455e256dd4,0.0924,73.524,4,True,https://api.spotify.com/v1/tracks/6tkm5aG839UkRwkDK7vEHP,67,audio_features,spotify:track:6tkm5aG839UkRwkDK7vEHP,0.0351
5d2760neW7kOqazxdqQ2CT,1.11e-05,https://api.spotify.com/v1/audio-analysis/5d2760neW7kOqazxdqQ2CT,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.187,1,63754,0.265,False,False,SEBGA1803859,https://api.spotify.com/v1/tracks/5d2760neW7kOqazxdqQ2CT,5d2760neW7kOqazxdqQ2CT,0.988,False,False,1,0.499,-38.966,1,"Thunder & Rain Sounds, Pt. 68",43,https://p.scdn.co/mp3-preview/220dcf53551e58e2156f47a16288c197c1ba75c8?cid=b48aa986c53946d3b37781455e256dd4,0.055,86.18,4,True,https://api.spotify.com/v1/tracks/5d2760neW7kOqazxdqQ2CT,68,audio_features,spotify:track:5d2760neW7kOqazxdqQ2CT,0.048
3nGSGtigSPUs3hKKlagmOV,0.0106,https://api.spotify.com/v1/audio-analysis/3nGSGtigSPUs3hKKlagmOV,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.162,1,71302,0.361,False,False,SEBGA1803860,https://api.spotify.com/v1/tracks/3nGSGtigSPUs3hKKlagmOV,3nGSGtigSPUs3hKKlagmOV,0.763,False,False,7,0.119,-34.18,1,"Thunder & Rain Sounds, Pt. 69",42,https://p.scdn.co/mp3-preview/1ddc048839cbe4851404aa83d29f0e41e4056d3f?cid=b48aa986c53946d3b37781455e256dd4,0.0625,58.221,5,True,https://api.spotify.com/v1/tracks/3nGSGtigSPUs3hKKlagmOV,69,audio_features,spotify:track:3nGSGtigSPUs3hKKlagmOV,0.0389
3VzoSguiUgTpJV392A6K7d,0.0493,https://api.spotify.com/v1/audio-analysis/3VzoSguiUgTpJV392A6K7d,3GLXuBAGaatiaRS3NmGpXO,Sleepy John,12,0.0821,1,63351,0.447,False,False,SEBGA1803861,https://api.spotify.com/v1/tracks/3VzoSguiUgTpJV392A6K7d,3VzoSguiUgTpJV392A6K7d,0.82,False,False,5,0.519,-33.34,0,"Thunder & Rain Sounds, Pt. 70",42,https://p.scdn.co/mp3-preview/80cf7ffbfc113040948a22137cd740b5460df008?cid=b48aa986c53946d3b37781455e256dd4,0.0484,83.306,3,True,https://api.spotify.com/v1/tracks/3VzoSguiUgTpJV392A6K7d,70,audio_features,spotify:track:3VzoSguiUgTpJV392A6K7d,0.0301
