song.id,acousticness,analysis_url,artist.id,artist.name,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,isBanger,is_local,key,linked_from,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
2EK48RuuE8HHMDzD2rEDqL,0.0142,https://api.spotify.com/v1/audio-analysis/2EK48RuuE8HHMDzD2rEDqL,6MoXcK2GyGg7FIyxPU5yW6,SUNMI,14,0.61,1,199134,0.905,False,False,TWCC31802187,https://api.spotify.com/v1/tracks/2EK48RuuE8HHMDzD2rEDqL,2EK48RuuE8HHMDzD2rEDqL,0,False,False,9,,0.0592,-3.686,0,Siren,73,https://p.scdn.co/mp3-preview/6cb86a704f6182c2641a3c22304060b6aec2ee5c?cid=b48aa986c53946d3b37781455e256dd4,0.0369,122.012,4,True,https://api.spotify.com/v1/tracks/2EK48RuuE8HHMDzD2rEDqL,2,audio_features,spotify:track:2EK48RuuE8HHMDzD2rEDqL,0.521
4giQE1WslvC0WH412UVLYB,0.0569,https://api.spotify.com/v1/audio-analysis/4giQE1WslvC0WH412UVLYB,2dIgFjalVxs4ThymZ67YCE,Stray Kids,12,0.682,1,189325,0.831,False,False,US5TA1800057,https://api.spotify.com/v1/tracks/4giQE1WslvC0WH412UVLYB,4giQE1WslvC0WH412UVLYB,0,False,False,11,,0.0927,-4.234,0,My Pace,69,https://p.scdn.co/mp3-preview/50b5212ee72245b92147224e9cd8f2f7e77571a0?cid=b48aa986c53946d3b37781455e256dd4,0.253,155.12,4,True,https://api.spotify.com/v1/tracks/4giQE1WslvC0WH412UVLYB,2,audio_features,spotify:track:4giQE1WslvC0WH412UVLYB,0.785
4yJ6CHGtEjUnMsZ4IMqReH,0.00389,https://api.spotify.com/v1/audio-analysis/4yJ6CHGtEjUnMsZ4IMqReH,6MoXcK2GyGg7FIyxPU5yW6,SUNMI,16,0.642,1,209679,0.676,False,False,KRMIM1903810,https://api.spotify.com/v1/tracks/4yJ6CHGtEjUnMsZ4IMqReH,4yJ6CHGtEjUnMsZ4IMqReH,0,False,False,8,,0.0854,-4.771,0,Noir 누아르,75,https://p.scdn.co/mp3-preview/f01254d3441c605bdbc5dff4d889278080b4a429?cid=b48aa986c53946d3b37781455e256dd4,0.0343,117.031,4,True,https://api.spotify.com/v1/tracks/4yJ6CHGtEjUnMsZ4IMqReH,1,audio_features,spotify:track:4yJ6CHGtEjUnMsZ4IMqReH,0.257
6G7DuXoSGeAf6BZivJdEjF,0.00116,https://api.spotify.com/v1/audio-analysis/6G7DuXoSGeAf6BZivJdEjF,2KC9Qb60EaY0kW4eH68vr3,ITZY,18,0.79,1,199874,0.853,False,False,US5TA1900013,https://api.spotify.com/v1/tracks/6G7DuXoSGeAf6BZivJdEjF,6G7DuXoSGeAf6BZivJdEjF,4.23e-05,False,False,11,,0.329,-4.564,0,달라달라 DALLA DALLA,83,https://p.scdn.co/mp3-preview/458484926106d4e456cc46ecd59937bb9bd50e9c?cid=b48aa986c53946d3b37781455e256dd4,0.0665,124.998,4,True,https://api.spotify.com/v1/tracks/6G7DuXoSGeAf6BZivJdEjF,1,audio_features,spotify:track:6G7DuXoSGeAf6BZivJdEjF,0.713
3NVnNH7lZW5Jg3fjiheS67,0.294,https://api.spotify.com/v1/audio-analysis/3NVnNH7lZW5Jg3fjiheS67,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,12,0.596,1,174429,0.512,False,False,AUUM71700125,https://api.spotify.com/v1/tracks/3NVnNH7lZW5Jg3fjiheS67,3NVnNH7lZW5Jg3fjiheS67,0,False,False,7,,0.139,-7.882,0,Let Go,68,https://p.scdn.co/mp3-preview/464af5b22b4dfdec2278d3d9859b28890b91f2d5?cid=b48aa986c53946d3b37781455e256dd4,0.0274,103.004,4,True,https://api.spotify.com/v1/tracks/3NVnNH7lZW5Jg3fjiheS67,3,audio_features,spotify:track:3NVnNH7lZW5Jg3fjiheS67,0.403
5EYi2rH4LYs6M21ZLOyQTx,0.217,https://api.spotify.com/v1/audio-analysis/5EYi2rH4LYs6M21ZLOyQTx,"7pbDxGE6nQSZVfiFdq9lOL, 4gHcu2JoaXJ0mV4aNPCd7N","Rex Orange County, Benny Sings",39,0.756,1,155720,0.609,False,True,GBKPL1789493,https://api.spotify.com/v1/tracks/5EYi2rH4LYs6M21ZLOyQTx,5EYi2rH4LYs6M21ZLOyQTx,0.00474,False,False,3,,0.096,-7.927,1,Loving Is Easy,81,https://p.scdn.co/mp3-preview/bce0365b96538116e07cb65fe3b3dbec560faae6?cid=b48aa986c53946d3b37781455e256dd4,0.0544,117.023,4,True,https://api.spotify.com/v1/tracks/5EYi2rH4LYs6M21ZLOyQTx,1,audio_features,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,0.537
6SWHTMywuTXLFlMQ75cAuu,0.368,https://api.spotify.com/v1/audio-analysis/6SWHTMywuTXLFlMQ75cAuu,6LuN9FCkKOj5PcnpouEgny,Khalid,15,0.778,1,276227,0.574,False,False,USRC11700151,https://api.spotify.com/v1/tracks/6SWHTMywuTXLFlMQ75cAuu,6SWHTMywuTXLFlMQ75cAuu,0,False,False,2,,0.126,-7.775,0,Keep Me,69,https://p.scdn.co/mp3-preview/a59e026c8a798638001d29a25e039623ccbcc8e0?cid=b48aa986c53946d3b37781455e256dd4,0.0327,112.048,4,True,https://api.spotify.com/v1/tracks/6SWHTMywuTXLFlMQ75cAuu,13,audio_features,spotify:track:6SWHTMywuTXLFlMQ75cAuu,0.663
11Tfh16o0SW8KdiQdeESEX,0.309,https://api.spotify.com/v1/audio-analysis/11Tfh16o0SW8KdiQdeESEX,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,12,0.677,1,175093,0.594,False,True,USAT21800939,https://api.spotify.com/v1/tracks/11Tfh16o0SW8KdiQdeESEX,11Tfh16o0SW8KdiQdeESEX,0,False,False,7,,0.118,-6.264,1,Honest,77,https://p.scdn.co/mp3-preview/2550f8817bd5816b0bc7bc627fb3a971de5f532a?cid=b48aa986c53946d3b37781455e256dd4,0.0695,76.996,4,True,https://api.spotify.com/v1/tracks/11Tfh16o0SW8KdiQdeESEX,7,audio_features,spotify:track:11Tfh16o0SW8KdiQdeESEX,0.427
1gm616Plq4ScqNi7TVkZ5N,0.218,https://api.spotify.com/v1/audio-analysis/1gm616Plq4ScqNi7TVkZ5N,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,11,0.489,1,228373,0.598,False,False,USUG11800560,https://api.spotify.com/v1/tracks/1gm616Plq4ScqNi7TVkZ5N,1gm616Plq4ScqNi7TVkZ5N,0,False,False,1,,0.35,-4.929,1,Call Out My Name,75,https://p.scdn.co/mp3-preview/3e53aa45af2dbdca25e30ece321cfdcd0d29b649?cid=b48aa986c53946d3b37781455e256dd4,0.036,134.045,3,True,https://api.spotify.com/v1/tracks/1gm616Plq4ScqNi7TVkZ5N,1,audio_features,spotify:track:1gm616Plq4ScqNi7TVkZ5N,0.172
6ECp64rv50XVz93WvxXMGF,0.0556,https://api.spotify.com/v1/audio-analysis/6ECp64rv50XVz93WvxXMGF,04gDigrS5kc9YWfZHwBETP,Maroon 5,12,0.714,1,206200,0.859,False,False,USJAY0300080,https://api.spotify.com/v1/tracks/6ECp64rv50XVz93WvxXMGF,6ECp64rv50XVz93WvxXMGF,0,False,False,5,,0.118,-4.634,0,This Love,79,https://p.scdn.co/mp3-preview/96a5308ff3bc728fd5d583bdb8a795a69cf9802a?cid=b48aa986c53946d3b37781455e256dd4,0.0372,95.034,4,True,https://api.spotify.com/v1/tracks/6ECp64rv50XVz93WvxXMGF,2,audio_features,spotify:track:6ECp64rv50XVz93WvxXMGF,0.755
