song.id,acousticness,analysis_url,artist.id,artist.name,isBanger,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,is_local,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
0oNpxZqwRZwVOD09fD0gzm,0.225,https://api.spotify.com/v1/audio-analysis/0oNpxZqwRZwVOD09fD0gzm,1aw0Cdl1DIrtUrUA6fGbAR,Dread Mar I,False,13,0.705,1,282227,0.75,False,False,AREX01600020,https://api.spotify.com/v1/tracks/0oNpxZqwRZwVOD09fD0gzm,0oNpxZqwRZwVOD09fD0gzm,0,False,0,0.466,-3.985,0,Hoja en Blanco,70,https://p.scdn.co/mp3-preview/7c990d4432d51b71cf64e20ba90fbd4fbcb74e8f?cid=b48aa986c53946d3b37781455e256dd4,0.0468,140.037,4,True,https://api.spotify.com/v1/tracks/0oNpxZqwRZwVOD09fD0gzm,20,audio_features,spotify:track:0oNpxZqwRZwVOD09fD0gzm,0.548
7ad3XBdqiGoGIuJ836YWr5,0.0225,https://api.spotify.com/v1/audio-analysis/7ad3XBdqiGoGIuJ836YWr5,5C4PDR4LnhZTbVnKWXuDKD,Morat,False,13,0.665,1,176121,0.631,False,False,ES5701800917,https://api.spotify.com/v1/tracks/7ad3XBdqiGoGIuJ836YWr5,7ad3XBdqiGoGIuJ836YWr5,0,False,0,0.305,-6.365,1,Cuando El Amor Se Escapa,67,https://p.scdn.co/mp3-preview/461594c742b799564d6188244e90faec493f0a4f?cid=b48aa986c53946d3b37781455e256dd4,0.0402,141.093,4,True,https://api.spotify.com/v1/tracks/7ad3XBdqiGoGIuJ836YWr5,4,audio_features,spotify:track:7ad3XBdqiGoGIuJ836YWr5,0.581
224EVTFiLsdQignUFLvDeH,0.753,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,"0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd","Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez",False,11,0.688,1,360960,0.62,False,True,QM9WM1900002,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,224EVTFiLsdQignUFLvDeH,5.27e-06,False,11,0.158,-8.029,0,Pa Mí - Remix,90,https://p.scdn.co/mp3-preview/99bf02294818b0f72efaa135e1d42cc20584ef6e?cid=b48aa986c53946d3b37781455e256dd4,0.22,170.018,4,True,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,1,audio_features,spotify:track:224EVTFiLsdQignUFLvDeH,0.727
1OxcIUqVmVYxT6427tbhDW,0.018,https://api.spotify.com/v1/audio-analysis/1OxcIUqVmVYxT6427tbhDW,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz,False,13,0.586,1,221333,0.872,False,False,USVI29800169,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW,1OxcIUqVmVYxT6427tbhDW,0,False,7,0.622,-5.066,1,Fly Away,72,https://p.scdn.co/mp3-preview/e09a9500396ce14f6f3a670b4f87f7b8c915b640?cid=b48aa986c53946d3b37781455e256dd4,0.0483,159.925,4,True,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW,8,audio_features,spotify:track:1OxcIUqVmVYxT6427tbhDW,0.729
5tVA6TkbaAH9QMITTQRrNv,0.219,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,False,13,0.63,1,256000,0.449,False,False,USMC18925673,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,5tVA6TkbaAH9QMITTQRrNv,0,False,5,0.0622,-13.243,1,Free Fallin',73,https://p.scdn.co/mp3-preview/08227d819166979e7d2b294061e21c9b78432dd5?cid=b48aa986c53946d3b37781455e256dd4,0.0252,84.378,4,True,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,1,audio_features,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.623
0W4Kpfp1w2xkY3PrV714B7,0.794,https://api.spotify.com/v1/audio-analysis/0W4Kpfp1w2xkY3PrV714B7,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,False,22,0.685,1,163133,0.466,False,False,USDMG1260805,https://api.spotify.com/v1/tracks/0W4Kpfp1w2xkY3PrV714B7,0W4Kpfp1w2xkY3PrV714B7,2.06e-06,False,0,0.0915,-9.074,1,Ho Hey,71,https://p.scdn.co/mp3-preview/57e57e6eb594e55de01b85cea4d470243f6121f5?cid=b48aa986c53946d3b37781455e256dd4,0.0304,79.936,4,True,https://api.spotify.com/v1/tracks/0W4Kpfp1w2xkY3PrV714B7,5,audio_features,spotify:track:0W4Kpfp1w2xkY3PrV714B7,0.353
6Ac4NVYYl2U73QiTt11ZKd,0.261,https://api.spotify.com/v1/audio-analysis/6Ac4NVYYl2U73QiTt11ZKd,"0UpuH5U4nZ3UGGUJi0Zfbp, 1Ek3VdZ8EPmcvgRIqnHlrF","Blue Swede, Björn Skifs",False,18,0.547,1,172867,0.82,False,False,SEAMA7343050,https://api.spotify.com/v1/tracks/6Ac4NVYYl2U73QiTt11ZKd,6Ac4NVYYl2U73QiTt11ZKd,0,False,8,0.3,-6.728,1,Hooked on a Feeling,77,https://p.scdn.co/mp3-preview/f4d2ded715803f9fe52b09bf38725b6a888ba45a?cid=b48aa986c53946d3b37781455e256dd4,0.0805,118.208,4,True,https://api.spotify.com/v1/tracks/6Ac4NVYYl2U73QiTt11ZKd,1,audio_features,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,0.933
0efT4YKQLQx2YHbp6vgRX8,0.429,https://api.spotify.com/v1/audio-analysis/0efT4YKQLQx2YHbp6vgRX8,2FXC3k01G6Gw61bmprjgqS,Hozier,False,14,0.443,1,222813,0.533,False,False,USSM11405188,https://api.spotify.com/v1/tracks/0efT4YKQLQx2YHbp6vgRX8,0efT4YKQLQx2YHbp6vgRX8,3.66e-06,False,7,0.332,-5.956,1,Someone New,28,,0.0473,183.791,4,True,https://api.spotify.com/v1/tracks/0efT4YKQLQx2YHbp6vgRX8,4,audio_features,spotify:track:0efT4YKQLQx2YHbp6vgRX8,0.596
2zvot9pY2FNl1E94kc4K8M,0.432,https://api.spotify.com/v1/audio-analysis/2zvot9pY2FNl1E94kc4K8M,3PhoLpVuITZKcymswpck5b,Elton John,False,11,0.601,1,281613,0.532,False,False,GBAMB7200006,https://api.spotify.com/v1/tracks/2zvot9pY2FNl1E94kc4K8M,2zvot9pY2FNl1E94kc4K8M,6.25e-06,False,10,0.0925,-9.119,1,Rocket Man (I Think It's Going To Be A Long Long Time),30,,0.0286,136.571,4,True,https://api.spotify.com/v1/tracks/2zvot9pY2FNl1E94kc4K8M,5,audio_features,spotify:track:2zvot9pY2FNl1E94kc4K8M,0.341
2MLHyLy5z5l5YRp7momlgw,0.00719,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,3jOstUTkEu2JkjvRdBA5Gu,Weezer,False,19,0.654,1,200307,0.81,False,False,USIR10110358,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,2MLHyLy5z5l5YRp7momlgw,0.00251,False,4,0.165,-6.26,0,Island In The Sun,76,https://p.scdn.co/mp3-preview/466f86cec2ab7d9248f93fab9221511cacc88c31?cid=b48aa986c53946d3b37781455e256dd4,0.0288,114.623,4,True,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,4,audio_features,spotify:track:2MLHyLy5z5l5YRp7momlgw,0.661
2RlgNHKcydI9sayD2Df2xp,0.652,https://api.spotify.com/v1/audio-analysis/2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,False,15,0.388,1,303373,0.338,False,False,USSM17200399,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,2RlgNHKcydI9sayD2Df2xp,3.72e-06,False,10,0.248,-10.054,1,Mr. Blue Sky,82,https://p.scdn.co/mp3-preview/bb98f258a01d52c9b1c86ae82c67132bd52f29af?cid=b48aa986c53946d3b37781455e256dd4,0.0328,177.784,4,True,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,13,audio_features,spotify:track:2RlgNHKcydI9sayD2Df2xp,0.477
2RVQYRbCNP1WVFQ8hEaaXC,0.835,https://api.spotify.com/v1/audio-analysis/2RVQYRbCNP1WVFQ8hEaaXC,69C7agUvyZMUv0P58MvBwc,eli filosov [ p h i l o ],False,11,0.534,1,91429,0.426,False,False,QM42K1600639,https://api.spotify.com/v1/tracks/2RVQYRbCNP1WVFQ8hEaaXC,2RVQYRbCNP1WVFQ8hEaaXC,0.311,False,9,0.157,-13.144,0,oneofone_rwrk,62,https://p.scdn.co/mp3-preview/ac79adb3e5d10cd3eade797d5e844b8fd6597e17?cid=b48aa986c53946d3b37781455e256dd4,0.58,83.758,4,True,https://api.spotify.com/v1/tracks/2RVQYRbCNP1WVFQ8hEaaXC,4,audio_features,spotify:track:2RVQYRbCNP1WVFQ8hEaaXC,0.202
