song.id,acousticness,analysis_url,artist.id,artist.name,isBanger,banger_occurances,danceability,disc_number,duration_ms,energy,episode,explicit,external_ids.isrc,href,id,instrumentalness,is_local,key,linked_from,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,track,track_href,track_number,type,uri,valence
1Xf4sNtMKc1xiUhuIPAUg2,0.995,https://api.spotify.com/v1/audio-analysis/1Xf4sNtMKc1xiUhuIPAUg2,"7y97mc3bZRFXzT2szRM4L4, 0MeUJOSv5a75mNQzh266Ay","Frédéric Chopin, Janusz Olejniczak",False,26,0.388,1,146760,0.00269,False,False,USLIC0600307,https://api.spotify.com/v1/tracks/1Xf4sNtMKc1xiUhuIPAUg2,1Xf4sNtMKc1xiUhuIPAUg2,0.869,False,4,,0.063,-32.97,0,"Prélude in E minor, Op. 28, No. 4",47,https://p.scdn.co/mp3-preview/2a50d8b1e700cfd0c0683a525aa58c1d79b4eda8?cid=b48aa986c53946d3b37781455e256dd4,0.0516,63.386,4,True,https://api.spotify.com/v1/tracks/1Xf4sNtMKc1xiUhuIPAUg2,7,audio_features,spotify:track:1Xf4sNtMKc1xiUhuIPAUg2,0.0397
5hZaXbhxY0cq2UGHZRR9C8,0.943,https://api.spotify.com/v1/audio-analysis/5hZaXbhxY0cq2UGHZRR9C8,"0roWUeP7Ac4yK4VN6L2gF4, 6NUhQz7eAEsZvjEHTKHux9, 77CaCn32H4mOMQA7UElzfF","Gioachino Rossini, Sir Neville Marriner, Academy of St. Martin in the Fields",False,12,0.183,1,666000,0.0726,False,False,NLA507510001,https://api.spotify.com/v1/tracks/5hZaXbhxY0cq2UGHZRR9C8,5hZaXbhxY0cq2UGHZRR9C8,0.512,False,4,,0.272,-21.494,1,William Tell : Overture,29,https://p.scdn.co/mp3-preview/47b1d2468b4bd0079ce4a87e9bab3d920fa2165d?cid=b48aa986c53946d3b37781455e256dd4,0.0465,87.548,4,True,https://api.spotify.com/v1/tracks/5hZaXbhxY0cq2UGHZRR9C8,14,audio_features,spotify:track:5hZaXbhxY0cq2UGHZRR9C8,0.094
0VQMAup2VdeQWLCvM14Uz2,0.874,https://api.spotify.com/v1/audio-analysis/0VQMAup2VdeQWLCvM14Uz2,"2QOIawHpSlOwXDvSqQ9YJR, 2U5grycWMciHdeNQGUH7dO, 3r1dphXjVBOwbUAYrrkEkQ","Antonio Vivaldi, Europa Galante, Fabio Biondi",False,44,0.364,1,150667,0.571,False,False,FRX299100103,https://api.spotify.com/v1/tracks/0VQMAup2VdeQWLCvM14Uz2,0VQMAup2VdeQWLCvM14Uz2,0.867,False,6,,0.121,-15.596,1,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": III. Tempo impetuoso d'estate",50,https://p.scdn.co/mp3-preview/62b842daafa64f2bc6bd8d33b35dc2933727896b?cid=b48aa986c53946d3b37781455e256dd4,0.0453,84.899,1,True,https://api.spotify.com/v1/tracks/0VQMAup2VdeQWLCvM14Uz2,6,audio_features,spotify:track:0VQMAup2VdeQWLCvM14Uz2,0.38
2IMAMTrvNJStRj1opG5QFf,0.717,https://api.spotify.com/v1/audio-analysis/2IMAMTrvNJStRj1opG5QFf,"2D7RkvtKKb6E5UmbjQM1Jd, 0iERWmMl3nIvcDxnJsKZBd, 6qg886AZaBjnfRF5tEs4Ht","Georges Bizet, Orchestre de Paris, Semyon Bychkov",False,19,0.339,1,133093,0.34,False,False,NLA509311913,https://api.spotify.com/v1/tracks/2IMAMTrvNJStRj1opG5QFf,2IMAMTrvNJStRj1opG5QFf,2.06e-05,False,5,,0.0845,-16.004,1,Carmen Suite No.1: 5. Les toréadors,35,https://p.scdn.co/mp3-preview/f0b2cadcdc0f575e5629b4714069cb0285013ccf?cid=b48aa986c53946d3b37781455e256dd4,0.0406,126.986,4,True,https://api.spotify.com/v1/tracks/2IMAMTrvNJStRj1opG5QFf,21,audio_features,spotify:track:2IMAMTrvNJStRj1opG5QFf,0.77
0ZN01wuIdn4iT8VBggkOMm,0.884,https://api.spotify.com/v1/audio-analysis/0ZN01wuIdn4iT8VBggkOMm,2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,False,12,0.293,1,485293,0.25,False,False,USA560925925,https://api.spotify.com/v1/tracks/0ZN01wuIdn4iT8VBggkOMm,0ZN01wuIdn4iT8VBggkOMm,0.907,False,0,,0.243,-16.766,0,Symphony No. 5 In C Minor Part 1,52,https://p.scdn.co/mp3-preview/52e242dd2b57793af790a2ea03ade3f2a27ef5f7?cid=b48aa986c53946d3b37781455e256dd4,0.0452,87.682,4,True,https://api.spotify.com/v1/tracks/0ZN01wuIdn4iT8VBggkOMm,2,audio_features,spotify:track:0ZN01wuIdn4iT8VBggkOMm,0.158
0J7HLchgeJQ7v285BzcZxm,0.976,https://api.spotify.com/v1/audio-analysis/0J7HLchgeJQ7v285BzcZxm,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,False,12,0.249,1,407640,0.0323,False,False,US-TCD-10-15073,https://api.spotify.com/v1/tracks/0J7HLchgeJQ7v285BzcZxm,0J7HLchgeJQ7v285BzcZxm,0.922,False,5,,0.0938,-29.19,1,"Piano Concerto No. 21 In C Major, ""Elvira Madigan"": II. Andante",1,,0.0372,128.086,4,True,https://api.spotify.com/v1/tracks/0J7HLchgeJQ7v285BzcZxm,6,audio_features,spotify:track:0J7HLchgeJQ7v285BzcZxm,0.102
10hnf3EVrq4xdt0ahFtRAk,0.996,https://api.spotify.com/v1/audio-analysis/10hnf3EVrq4xdt0ahFtRAk,"459INk8vcC0ebEef82WjIK, 7suBrtDHxXAC0bJ0TIiL4S","Erik Satie, Angela Brownridge",False,12,0.455,1,195507,0.0285,False,False,GBAYD8500195,https://api.spotify.com/v1/tracks/10hnf3EVrq4xdt0ahFtRAk,10hnf3EVrq4xdt0ahFtRAk,0.959,False,7,,0.102,-34.835,1,3 Gymnopédies: 1. Lent et douloureux,44,,0.0794,79.452,4,True,https://api.spotify.com/v1/tracks/10hnf3EVrq4xdt0ahFtRAk,2,audio_features,spotify:track:10hnf3EVrq4xdt0ahFtRAk,0.219
2uIgnhIEQWJpE8eAIJT9QZ,0.984,https://api.spotify.com/v1/audio-analysis/2uIgnhIEQWJpE8eAIJT9QZ,"6yevSkvKPmNJpKYxy8N5XQ, 2p0UyoPfYfI76PCStuXfOP","Stuttgart Piano Trio, Franz Schubert",False,15,0.304,1,521067,0.0271,False,False,HKI199301802,https://api.spotify.com/v1/tracks/2uIgnhIEQWJpE8eAIJT9QZ,2uIgnhIEQWJpE8eAIJT9QZ,0.24,False,0,,0.0963,-21.342,0,"Piano Trio No. 2 In E Flat Major, Op. 100, D. 929: II. Andante Con Moto",40,https://p.scdn.co/mp3-preview/442a50952f168b642a6f1bb55d82c7ee0e3ba4c7?cid=b48aa986c53946d3b37781455e256dd4,0.0376,100.212,4,True,https://api.spotify.com/v1/tracks/2uIgnhIEQWJpE8eAIJT9QZ,2,audio_features,spotify:track:2uIgnhIEQWJpE8eAIJT9QZ,0.0827
4xb6sVs1c3ooV4o2xKzE4D,0.921,https://api.spotify.com/v1/audio-analysis/4xb6sVs1c3ooV4o2xKzE4D,"2wOqMjp9TyABvtHdOSOTUS, 3I7xl3kyFq7mUPwYxsHA02, 1qIRoGEKXINqrCx5N1engi","Ludwig van Beethoven, Orchestre Révolutionnaire et Romantique, John Eliot Gardiner",False,14,0.207,1,507101,0.0356,False,False,GBHNG1200021,https://api.spotify.com/v1/tracks/4xb6sVs1c3ooV4o2xKzE4D,4xb6sVs1c3ooV4o2xKzE4D,0.485,False,4,,0.0845,-24.8,0,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",47,https://p.scdn.co/mp3-preview/d4858b28f6b2d9e57ab1d87e935f9eba1c28e6e8?cid=b48aa986c53946d3b37781455e256dd4,0.0401,65.048,4,True,https://api.spotify.com/v1/tracks/4xb6sVs1c3ooV4o2xKzE4D,2,audio_features,spotify:track:4xb6sVs1c3ooV4o2xKzE4D,0.0466
12pe2mL5SQGMI1gBGcEWKE,0.854,https://api.spotify.com/v1/audio-analysis/12pe2mL5SQGMI1gBGcEWKE,"284mnx33IWcymQEpMxyfHl, 2LmyJyCF5V1eQyvHgJNbTn, 3gacryguGmpmCvgPGt2CBI","Modest Mussorgsky, Leonard Bernstein, New York Philharmonic",False,26,0.316,1,659560,0.308,False,False,USSM16500340,https://api.spotify.com/v1/tracks/12pe2mL5SQGMI1gBGcEWKE,12pe2mL5SQGMI1gBGcEWKE,0.888,False,2,,0.585,-15.944,1,Night on Bald Mountain,31,https://p.scdn.co/mp3-preview/025e247e61566d8a0e4766200195ee11cbd6346b?cid=b48aa986c53946d3b37781455e256dd4,0.0411,103.459,4,True,https://api.spotify.com/v1/tracks/12pe2mL5SQGMI1gBGcEWKE,16,audio_features,spotify:track:12pe2mL5SQGMI1gBGcEWKE,0.095
